"•ČŔ""Answer""",Place,Time,createdAt,objectId,updatedAt
FALSE,Blarneys,16,2016-04-18T20:05:35.140Z,KuFKh48l8j,2016-04-18T20:05:35.140Z
FALSE,Blarneys,16,2016-04-18T16:18:26.307Z,grXq7FjxPa,2016-04-18T16:18:26.307Z
TRUE,Huntsman,16,2016-04-18T20:05:35.139Z,hNRVibPkTE,2016-04-18T20:05:35.139Z
TRUE,Huntsman,16,2016-04-18T16:23:15.539Z,iNJdcJmyFW,2016-04-18T16:23:15.539Z
FALSE,Blarneys,16,2016-04-18T16:20:12.536Z,nrX7IRgoku,2016-04-18T16:20:12.536Z
FALSE,Blarneys,17,2016-04-18T16:23:15.480Z,Dcw5Ldqp5S,2016-04-18T16:23:15.480Z
FALSE,Blarneys,17,2016-04-18T16:20:12.544Z,Lvelle74Au,2016-04-18T16:20:12.544Z
FALSE,blarneys,17,2016-04-19T17:57:14.652Z,Pvox5NvQos,2016-04-19T17:57:14.652Z
FALSE,Blarneys,17,2016-04-18T16:18:26.320Z,Q66RfHjIBE,2016-04-18T16:18:26.320Z
FALSE,Blarneys,17,2016-04-18T20:05:35.144Z,QY9TGTKBwN,2016-04-18T20:05:35.144Z
TRUE,Huntsman,17,2016-04-18T20:05:35.141Z,U74Bt4zi2X,2016-04-18T20:05:35.141Z
TRUE,huntsman,17,2016-04-19T17:57:07.720Z,aE9JSxOO1g,2016-04-19T17:57:07.720Z
TRUE,Huntsman,17,2016-04-18T16:23:15.537Z,hQR8BO8mkz,2016-04-18T16:23:15.537Z
FALSE,Blarneys,17,2016-04-18T16:19:28.615Z,pZZmhoQWaj,2016-04-18T16:19:28.615Z
FALSE,blarneys,17,2016-04-19T17:56:57.630Z,w9YHJ5howl,2016-04-19T17:56:57.630Z
FALSE,blarneys,18,2016-04-22T18:54:54.886Z,7Dx4BbEQdY,2016-04-22T18:54:54.886Z
TRUE,Huntsman,18,2016-04-18T20:05:35.134Z,NpNayBPkWa,2016-04-18T20:05:35.134Z
FALSE,Blarneys,18,2016-04-18T16:20:12.724Z,XGePRyl8Le,2016-04-18T16:20:12.724Z
FALSE,Blarneys,18,2016-04-18T16:19:28.614Z,cLiqZ1Oshx,2016-04-18T16:19:28.614Z
TRUE,Huntsman,18,2016-04-18T16:23:15.532Z,dKhV1iq2lu,2016-04-18T16:23:15.532Z
TRUE,huntsman,18,2016-04-22T18:54:40.651Z,fjmWfFZ7Q9,2016-04-22T18:54:40.651Z
FALSE,Blarneys,18,2016-04-18T16:23:15.534Z,gwTVz61qzl,2016-04-18T16:23:15.534Z
FALSE,Blarneys,18,2016-04-18T20:05:35.145Z,i12o9yoDAO,2016-04-18T20:05:35.145Z
FALSE,Blarneys,18,2016-04-18T16:18:26.309Z,sRGNjXyGyw,2016-04-18T16:18:26.309Z
FALSE,Blarneys,19,2016-04-18T16:23:15.478Z,2fKiamjVqp,2016-04-18T16:23:15.478Z
TRUE,Huntsman,19,2016-04-18T16:23:15.540Z,5uEbTMGxbR,2016-04-18T16:23:15.540Z
FALSE,Blarneys,19,2016-04-18T16:19:28.626Z,74ZjJ4L7zq,2016-04-18T16:19:28.626Z
FALSE,Blarneys,19,2016-04-18T16:17:55.067Z,8QPsMANKqm,2016-04-18T16:17:55.067Z
FALSE,Blarneys,19,2016-04-18T20:05:35.147Z,YpQiVfeq83,2016-04-18T20:05:35.147Z
FALSE,Blarneys,19,2016-04-18T16:20:12.538Z,hfn28nK4qt,2016-04-18T16:20:12.538Z
TRUE,Huntsman,19,2016-04-18T20:05:35.140Z,ilGbOVbe3p,2016-04-18T20:05:35.140Z
FALSE,Blarneys,19,2016-04-18T16:18:26.309Z,jDtc1aBDOT,2016-04-18T16:18:26.309Z
FALSE,huntsman,19,2016-04-21T19:22:19.652Z,rXpUfiykVj,2016-04-21T19:22:19.652Z
TRUE,Huntsman,20,2016-04-18T20:05:35.166Z,36AeUmgiRw,2016-04-18T20:05:35.166Z
FALSE,Blarneys,20,2016-04-18T16:18:26.345Z,38fr4CpPxQ,2016-04-18T16:18:26.416Z
FALSE,Blarneys,20,2016-04-18T16:19:28.701Z,CTkAoXp8GK,2016-04-18T16:19:28.754Z
FALSE,Huntsman,20,2016-04-19T01:34:45.886Z,GhP1eIkuV7,2016-04-19T01:34:45.886Z
TRUE,Huntsman,20,2016-04-18T16:23:15.550Z,UNKsesPDdd,2016-04-18T16:23:15.550Z
FALSE,Blarneys,20,2016-04-18T20:05:35.146Z,iK0iQ9MFoC,2016-04-18T20:05:35.146Z
FALSE,Blarneys,20,2016-04-18T16:20:12.540Z,is3yaBkHVm,2016-04-18T16:20:12.540Z
FALSE,Blarneys,20,2016-04-18T16:23:15.481Z,tQqe0tv1x7,2016-04-18T16:23:15.481Z
FALSE,Huntsman,20,2016-04-19T01:34:49.223Z,wHAaXl82wo,2016-04-19T01:34:49.223Z
TRUE,Huntsman,20,2016-04-19T01:35:30.335Z,wykYW5uyFm,2016-04-19T01:35:30.335Z
TRUE,Huntsman,21,2016-04-18T16:23:15.539Z,1rSNTKlElQ,2016-04-18T16:23:15.539Z
TRUE,Huntsman,21,2016-04-18T20:05:35.138Z,4pXh9kHAuV,2016-04-18T20:05:35.138Z
FALSE,Blarneys,21,2016-04-18T20:05:35.140Z,7I8T7lrFPd,2016-04-18T20:05:35.140Z
FALSE,Blarneys,21,2016-04-18T16:23:15.492Z,Vp6x4rZYwv,2016-04-18T16:23:15.492Z
FALSE,Blarneys,21,2016-04-18T16:20:12.536Z,vmb2lBp92u,2016-04-18T16:20:12.594Z
TRUE,Blarneys,22,2016-04-18T16:23:15.489Z,AvYVqRgJl3,2016-04-18T16:23:15.489Z
TRUE,Huntsman,22,2016-04-18T16:23:15.538Z,EaAqi8Fp3E,2016-04-18T16:23:15.538Z
TRUE,Blarneys,22,2016-04-18T16:20:12.534Z,cspc9Zc2X6,2016-04-18T16:20:12.534Z
TRUE,Huntsman,22,2016-04-18T20:05:35.137Z,uGJX56XOnp,2016-04-18T20:05:35.137Z
TRUE,Blarneys,22,2016-04-18T16:19:28.605Z,wXvoP4uWIM,2016-04-18T16:19:28.605Z
TRUE,Blarneys,22,2016-04-18T20:05:35.119Z,yfq2yBHWdh,2016-04-18T20:05:35.119Z
TRUE,Huntsman,23,2016-04-18T20:05:35.143Z,4rZROgUwqD,2016-04-18T20:05:35.143Z
TRUE,Blarneys,23,2016-04-18T20:05:35.097Z,81Y2QnenIQ,2016-04-18T20:05:35.097Z
TRUE,Blarneys,23,2016-04-18T16:23:15.485Z,E44n8osijY,2016-04-18T16:23:15.485Z
FALSE,blarneys,23,2016-04-21T23:49:40.263Z,NZcBVG2RMt,2016-04-21T23:49:40.263Z
TRUE,Blarneys,23,2016-04-18T16:19:28.616Z,TJyqKrPpvP,2016-04-18T16:19:28.616Z
TRUE,Blarneys,23,2016-04-18T16:20:12.526Z,VJmum9FJEh,2016-04-18T16:20:12.526Z
TRUE,huntsman,23,2016-04-19T23:37:37.188Z,p3E6kTKbM7,2016-04-19T23:37:37.188Z
TRUE,Huntsman,23,2016-04-18T16:23:15.541Z,vZkifSgVkZ,2016-04-18T16:23:15.541Z
TRUE,Huntsman,24,2016-04-18T20:05:35.138Z,6BzR7d6DoW,2016-04-18T20:05:35.138Z
TRUE,Blarneys,24,2016-04-18T16:19:28.603Z,EuJeooKMCH,2016-04-18T16:19:28.603Z
TRUE,Blarneys,24,2016-04-18T16:23:15.503Z,TqrjTgqpZR,2016-04-18T16:23:15.503Z
TRUE,Huntsman,24,2016-04-18T16:23:15.527Z,WkyShS5SxM,2016-04-18T16:23:15.527Z
TRUE,Blarneys,24,2016-04-18T20:05:35.117Z,r4R3zxOgBt,2016-04-18T20:05:35.117Z
TRUE,Blarneys,24,2016-04-18T16:20:12.537Z,rb1eLknbRK,2016-04-18T16:20:12.537Z
